0,1,2,3
1042590306_95dea0916c.jpg#3,"asian man and blond woman holding hands outdoors , man in background watches .",1042590306_95dea0916c.jpg,nonwhite_with_attribute
1155138244_859fd6e079.jpg#1,an asian girl in a green hat and apron is serving drinks on a tray .,1155138244_859fd6e079.jpg,nonwhite_with_attribute
1191338263_a4fa073154.jpg#1,an asian woman waiting at an underground train stop .,1191338263_a4fa073154.jpg,nonwhite_with_attribute
1244485675_822e6efe60.jpg#4,the young asian boy looks at his reflection in the park .,1244485675_822e6efe60.jpg,nonwhite_with_attribute
1262077938_8b9516c273.jpg#3,a young asian woman wearing long shorts and a gray collared t-shirt is sitting on a wooden bench .,1262077938_8b9516c273.jpg,nonwhite_with_attribute
1285874746_486731a954.jpg#0,a african-american woman stands in the crowd .,1285874746_486731a954.jpg,nonwhite_with_attribute
1298866571_b4c496b71c.jpg#0,a asian man gives an evil eye to the camera .,1298866571_b4c496b71c.jpg,nonwhite_with_attribute
132489044_3be606baf7.jpg#2,"an asian man in a suit on the subway , asleep .",132489044_3be606baf7.jpg,nonwhite_with_attribute
1332208215_fa824f6659.jpg#0,a man in glasses and an asian woman are seated across from each other in a subway train .,1332208215_fa824f6659.jpg,nonwhite_with_attribute
1472653060_7427d2865a.jpg#2,"asian man is preparing breaded shimp with diners visible at a counter behind him , at a food court in a shopping mall .",1472653060_7427d2865a.jpg,nonwhite_with_attribute
1528205014_1323aa9dfd.jpg#3,black man poses for photo .,1528205014_1323aa9dfd.jpg,nonwhite_with_attribute
1691573772_1adef8e40e.jpg#1,an asian woman rides a bicycle in front of two cars .,1691573772_1adef8e40e.jpg,nonwhite_with_attribute
1776981714_5b224d0f7a.jpg#0,two asian women walking in front of a green door,1776981714_5b224d0f7a.jpg,nonwhite_with_attribute
1805990081_da9cefe3a5.jpg#3,a dark skinned boy is walking a white dog on a pink leash down a sidewalk .,1805990081_da9cefe3a5.jpg,nonwhite_with_attribute
197142902_f05ff198c2.jpg#3,an asian man and an asian woman are blowing bubbles from pink plastic hoops .,197142902_f05ff198c2.jpg,nonwhite_with_attribute
2059842472_f4fb61ea08.jpg#2,a little asian boy crawls along on asphalt .,2059842472_f4fb61ea08.jpg,nonwhite_with_attribute
2073174497_18b779999c.jpg#1,a dark skinned man is cycling in a street full of traffic .,2073174497_18b779999c.jpg,nonwhite_with_attribute
2085078076_b9db242d21.jpg#1,a young black child stands on the edge of a body of water near buckets .,2085078076_b9db242d21.jpg,nonwhite_with_attribute
2086513494_dbbcb583e7.jpg#3,asian woman in white coat takes photo .,2086513494_dbbcb583e7.jpg,nonwhite_with_attribute
2091171488_c8512fec76.jpg#4,young asian woman with pink gloves stands in the snow .,2091171488_c8512fec76.jpg,nonwhite_with_attribute
2092177624_13ab757e8b.jpg#2,an african boy in large green shirt is running barefoot along a wall .,2092177624_13ab757e8b.jpg,nonwhite_with_attribute
2149968397_a7411729d1.jpg#1,a small african boy leaves the ocean while many others continue to play behind him .,2149968397_a7411729d1.jpg,nonwhite_with_attribute
2174206711_11cb712a8d.jpg#2,two asian girls cheerleading for a sporting event,2174206711_11cb712a8d.jpg,nonwhite_with_attribute
2187222896_c206d63396.jpg#2,an african american boy stands in front of a blue building in the handicapped space .,2187222896_c206d63396.jpg,nonwhite_with_attribute
2211593099_4a4f1c85d2.jpg#2,a group of young middle eastern kids posing for the picture,2211593099_4a4f1c85d2.jpg,nonwhite_with_attribute
2216568822_84c295c3b0.jpg#3,this helmeted person has a tattoo of an indian lady on their arm .,2216568822_84c295c3b0.jpg,nonwhite_with_attribute
2228022180_9597b2a458.jpg#0,a bunch of asian children on steps .,2228022180_9597b2a458.jpg,nonwhite_with_attribute
2246717855_c0c08fe5d2.jpg#2,three japanese people wait for the train .,2246717855_c0c08fe5d2.jpg,nonwhite_with_attribute
2252403744_148fc11f68.jpg#0,an asian girl and boy playing on with a yellow ball on a black and white floor .,2252403744_148fc11f68.jpg,nonwhite_with_attribute
2257099774_37d0d3aa9a.jpg#0,an elderly asian woman wearing a blue winter coat and red hat in front of a food counter .,2257099774_37d0d3aa9a.jpg,nonwhite_with_attribute
2257294002_0073263c54.jpg#1,three asian kids dance while a man looks on .,2257294002_0073263c54.jpg,nonwhite_with_attribute
2260369648_e21ae6494a.jpg#3,two asian girls in green and yellow band uniforms are facing each other .,2260369648_e21ae6494a.jpg,nonwhite_with_attribute
2316097768_ef662f444b.jpg#0,a black guy smoking a cigarette .,2316097768_ef662f444b.jpg,nonwhite_with_attribute
2339106348_2df90aa6a9.jpg#1,an asian boy and an asian girl are smiling in a crowd of people .,2339106348_2df90aa6a9.jpg,nonwhite_with_attribute
2348491126_30db0d46ef.jpg#3,black man in sunglasses and leather jacket staring downward .,2348491126_30db0d46ef.jpg,nonwhite_with_attribute
2354456107_bf5c766a05.jpg#4,"an african-american man wearing a green sweatshirt and blue vest is holding up 2 dollar bills in front of his face , while standing on a busy sidewalk in front of a group of men playing instruments .",2354456107_bf5c766a05.jpg,nonwhite_with_attribute
2384728877_48c85d58af.jpg#3,two indian women walk down a road .,2384728877_48c85d58af.jpg,nonwhite_with_attribute
2416964653_db3c2b6a0e.jpg#1,two young asian girls look off into the distance while standing in an urban area .,2416964653_db3c2b6a0e.jpg,nonwhite_with_attribute
2420546021_4a59790da6.jpg#2,an asian girl is dressed in a colorful costume and yellow headdress .,2420546021_4a59790da6.jpg,nonwhite_with_attribute
2422018883_336519b5c6.jpg#3,a young asian girl wearing a dress running .,2422018883_336519b5c6.jpg,nonwhite_with_attribute
2436160351_108924a65b.jpg#1,two indian children walk and ride bikes down the street .,2436160351_108924a65b.jpg,nonwhite_with_attribute
2456030728_d3d147e774.jpg#2,an asian girl with a finger up her nose .,2456030728_d3d147e774.jpg,nonwhite_with_attribute
2460799229_ce45a1d940.jpg#0,asian boys play on a raft in a lake,2460799229_ce45a1d940.jpg,nonwhite_with_attribute
2472634822_7d5d2858c0.jpg#4,a young asian boy running with a white and grey dog on green grass .,2472634822_7d5d2858c0.jpg,nonwhite_with_attribute
2488795251_c108c77b13.jpg#1,three black girls wearing white shirts smiling,2488795251_c108c77b13.jpg,nonwhite_with_attribute
2496399593_a24954a5ca.jpg#1,an asian girl is smiling whilst standing in font of some green bushes .,2496399593_a24954a5ca.jpg,nonwhite_with_attribute
2529116152_4331dabf50.jpg#4,this black man appears to be break dancing on the pavement .,2529116152_4331dabf50.jpg,nonwhite_with_attribute
2543679402_9359e1ee4e.jpg#0,a black man with gray hair half sitting half laying on a street floor .,2543679402_9359e1ee4e.jpg,nonwhite_with_attribute
255091927_2eb643beb2.jpg#3,two asian men and asian woman sit in black massage chairs .,255091927_2eb643beb2.jpg,nonwhite_with_attribute
255091930_aa2b5c0eb9.jpg#0,a black guy in a apron grilling cornstalks .,255091930_aa2b5c0eb9.jpg,nonwhite_with_attribute
2589156742_c46bc82137.jpg#0,a black man drinking out of a paper cup .,2589156742_c46bc82137.jpg,nonwhite_with_attribute
2592019072_a6c0090da4.jpg#2,asian girl with white tank top and pink shorts running through grass .,2592019072_a6c0090da4.jpg,nonwhite_with_attribute
2593695271_4d9cc9bd6f.jpg#2,three asian children with backpacks walking down a brick street .,2593695271_4d9cc9bd6f.jpg,nonwhite_with_attribute
2595102568_347f6d4b07.jpg#2,"an asian man , woman , and child are standing on a sidewalk .",2595102568_347f6d4b07.jpg,nonwhite_with_attribute
2602279427_191773c9e2.jpg#0,an oriental girl wearing a yellow apron and a stocking cap .,2602279427_191773c9e2.jpg,nonwhite_with_attribute
260392825_ea61660633.jpg#0,a black man in a red shirt .,260392825_ea61660633.jpg,nonwhite_with_attribute
